Observed Water Content,VG Fitted Water Content,"Suction, h(cm)",SWC_DNN_5HiddenLayers
0.387,0.392,0.309,0.3868675099013206
0.39,0.392,1.452,0.38863359638976464
0.391,0.392,2.305,0.3892370759254807
0.391,0.392,3.16,0.3898420638348572
0.391,0.392,4.012,0.3904604970356211
0.389,0.392,4.582,0.39097721884335723
0.392,0.392,4.866,0.39123472857721725
0.391,0.392,5.436,0.3917514595127819
0.392,0.392,6.292,0.39163204469636936
0.391,0.392,6.577,0.3913040407429676
0.39,0.392,7.43,0.3906319632940817
0.387,0.392,7.716,0.3904089750076264
0.389,0.392,8.282,0.3899675075819971
0.39,0.392,8.853,0.3895223274121236
0.389,0.392,9.422,0.38907853239022566
0.388,0.392,9.993,0.38863327919772406
0.387,0.392,10.845,0.38796886912478207
0.387,0.392,11.416,0.387523588548795
0.389,0.392,11.985,0.3870798756773536
0.387,0.392,12.842,0.385775732615832
0.385,0.392,13.407,0.3848506271968818
0.386,0.392,13.976,0.3841070491853615
0.387,0.392,14.263,0.3839697597987796
0.385,0.392,14.55,0.38423580861620577
0.383,0.392,14.831,0.3844963373793437
0.384,0.392,15.686,0.3850462091782518
0.386,0.392,15.973,0.38475138031755035
0.385,0.392,16.256,0.3844218520167883
0.383,0.392,17.11,0.3834272267739893
0.382,0.392,17.396,0.383176909768991
0.383,0.392,17.963,0.38306981067518836
0.383,0.392,18.531,0.3829624719758875
0.383,0.392,19.103,0.38237611168253194
0.381,0.392,19.387,0.38186798600729005
0.382,0.392,19.67,0.3845275499889155
0.382,0.391,20.526,0.38340728703262084
0.382,0.391,20.809,0.3830367953194869
0.383,0.391,21.38,0.38228949543589386
0.38,0.391,21.664,0.3819177121350265
0.381,0.391,21.949,0.3815446669118684
0.383,0.39,22.521,0.3807960640307563
0.381,0.39,23.09,0.38005134732263
0.38,0.389,23.373,0.37968086930123884
0.38,0.389,23.654,0.3793131068088278
0.379,0.388,24.51,0.3781927594201195
0.379,0.388,24.795,0.37781974842631827
0.38,0.387,25.08,0.37744666897380325
0.381,0.387,25.366,0.3770724553885966
0.379,0.387,25.366,0.3770724553885966
0.378,0.386,25.651,0.3766994056015242
0.378,0.385,25.934,0.37675104400933235
0.379,0.385,26.222,0.37714279215309654
0.378,0.384,26.506,0.37752902937040106
0.379,0.383,26.792,0.37791804372952814
0.378,0.383,27.075,0.37830276344534375
0.378,0.383,27.076,0.378304233025733
0.378,0.381,27.647,0.37932680996137047
0.378,0.381,27.642,0.37931780079463634
0.378,0.381,27.644,0.3793213880312387
0.379,0.379,28.213,0.37854471023160324
0.38,0.379,28.21,0.37855538522703946
0.379,0.378,28.498,0.3775296683183964
0.38,0.377,28.78,0.37652536073151105
0.379,0.377,28.782,0.3765182227696204
0.38,0.376,29.065,0.37551025492350465
0.379,0.375,29.353,0.3744846019096611
0.373,0.377,28.782,0.3765182227696204
0.374,0.375,29.355,0.3744774593838562
0.373,0.374,29.636,0.37347663406354537
0.373,0.372,29.92,0.372465229304753
0.37,0.372,29.922,0.37245801375632004
0.372,0.372,29.922,0.37245801375632004
0.371,0.372,29.921,0.3724616511959792
0.37,0.371,30.208,0.3714394713208816
0.37,0.37,30.492,0.3704280622834196
0.37,0.37,30.492,0.3704280622834196
0.369,0.37,30.49,0.3704351135309395
0.37,0.372,29.924,0.3724509807644572
0.37,0.371,30.206,0.371446513440573
0.37,0.37,30.493,0.370424360948961
0.37,0.369,30.774,0.3694235630121357
0.369,0.367,31.06,0.3684049840653833
0.368,0.367,31.06,0.3684049840653833
0.368,0.366,31.344,0.3673934746218077
0.368,0.366,31.348,0.3673791895701979
0.368,0.366,31.349,0.3673757894540799
0.366,0.365,31.631,0.366371363205424
0.366,0.363,31.915,0.36535992222056224
0.366,0.362,32.201,0.3643412109202965
0.366,0.361,32.482,0.36334059097612703
0.365,0.359,32.768,0.3623218571415347
0.363,0.359,32.769,0.3623182242657898
0.362,0.359,32.771,0.36231107717607064
0.362,0.359,32.771,0.36231107717607064
0.364,0.358,33.052,0.3613103613897019
0.363,0.356,33.341,0.36028103898879943
0.363,0.356,33.337,0.3602954198826086
0.361,0.356,33.339,0.3602881358754618
0.361,0.355,33.623,0.35927666750711457
0.361,0.355,33.624,0.35927319893228277
0.357,0.354,33.911,0.3582509688541285
0.357,0.354,33.908,0.35826166210522176
0.356,0.354,33.909,0.35825812507167615
0.356,0.352,34.193,0.35724665213941464
0.357,0.351,34.481,0.35622092610294304
0.355,0.351,34.474,0.35624586333041786
0.356,0.35,34.761,0.3552236788914061
0.354,0.349,35.05,0.3532123390608267
0.351,0.349,35.044,0.35325508924562843
0.354,0.348,35.332,0.3512059191298114
0.352,0.348,35.331,0.35121308903910187
0.349,0.346,35.617,0.3491784595540928
0.35,0.346,35.614,0.34919985062019354
0.348,0.345,35.901,0.3471580101506658
0.347,0.346,35.617,0.3491784595540928
0.344,0.345,35.904,0.34713660995673656
0.346,0.344,36.187,0.3451231707256011
0.346,0.344,36.186,0.3451303360709773
0.343,0.343,36.469,0.34283853458176294
0.342,0.342,36.757,0.3404953251624101
0.34,0.341,37.04,0.338192803038617
0.338,0.341,37.04,0.338192803038617
0.339,0.34,37.325,0.33587409271097074
0.336,0.34,37.325,0.33587409271097074
0.337,0.339,37.605,0.333595759332715
0.333,0.339,37.605,0.333595759332715
0.33,0.338,37.896,0.3316754832832127
0.331,0.337,38.181,0.33020646425541095
0.333,0.337,38.177,0.3302271159674028
0.329,0.337,38.175,0.33023733000749955
0.329,0.336,38.463,0.3287528301825538
0.328,0.336,38.751,0.3258435721702255
0.326,0.336,38.746,0.32593255937031773
0.325,0.335,39.03,0.323066284302418
0.324,0.334,39.317,0.3219647835976147
0.324,0.334,39.317,0.3219647835976147
0.319,0.334,39.316,0.3219686446690722
0.321,0.334,39.598,0.3208863352237001
